video,efficienttam_s-efficienttam_s_2,efficienttam_s-efficienttam_s_1,efficienttam_ti-efficienttam_ti_2,efficienttam_s-efficienttam_s_512x512
bike-packing,0.338,0.463,1.282,8.126
blackswan,0.301,0.750,0.603,0.488
bmx-trees,-0.170,-0.312,-0.377,3.743
breakdance,-0.155,0.497,0.367,2.100
camel,0.177,0.005,-0.106,2.246
car-roundabout,-0.048,-0.021,-0.001,0.146
car-shadow,0.057,0.047,0.000,0.476
cows,0.010,0.003,-1.454,4.261
dance-twirl,-0.178,0.066,-0.399,1.488
dog,-0.076,-0.031,-0.143,0.090
dogs-jump,0.277,0.176,-0.076,1.013
drift-chicane,0.033,0.038,-0.401,0.980
drift-straight,-0.034,0.077,0.104,0.388
goat,0.105,0.021,-0.098,1.403
gold-fish,0.512,0.635,-0.667,1.395
horsejump-high,0.190,0.044,0.243,2.809
india,0.210,0.063,-0.412,0.860
judo,-0.054,-0.222,-0.761,0.382
kite-surf,7.602,9.634,-0.389,5.973
lab-coat,2.529,6.803,9.762,15.006
libby,0.122,0.025,0.044,0.977
loading,-0.100,-0.125,-0.027,0.410
mbike-trick,1.400,1.330,-1.260,7.307
motocross-jump,0.782,0.322,-2.214,2.038
paragliding-launch,1.906,2.422,4.325,7.575
parkour,0.163,-0.038,0.034,0.874
pigs,2.906,-0.353,-0.237,1.371
scooter-black,0.280,0.125,0.336,3.582
shooting,-0.276,-0.785,0.081,2.127
soapbox,-0.302,-0.299,0.230,3.540
