video,efficienttam_s,efficienttam_s_2,efficienttam_s_1,efficienttam_ti,efficienttam_ti_2,efficienttam_s_512x512
bike-packing,92.023,91.685,91.560,87.924,86.642,83.897
blackswan,97.157,96.855,96.406,97.388,96.785,96.668
bmx-trees,82.246,82.416,82.558,81.295,81.672,78.503
breakdance,96.871,97.026,96.374,96.530,96.164,94.771
camel,98.794,98.618,98.789,98.468,98.574,96.548
car-roundabout,97.998,98.046,98.020,98.049,98.050,97.853
car-shadow,98.812,98.754,98.765,98.756,98.755,98.335
cows,98.508,98.498,98.506,96.860,98.313,94.248
dance-twirl,95.253,95.431,95.187,94.302,94.701,93.765
dog,97.776,97.852,97.807,97.660,97.803,97.686
dogs-jump,96.756,96.479,96.580,96.409,96.485,95.742
drift-chicane,95.835,95.802,95.797,95.298,95.699,94.855
drift-straight,97.368,97.402,97.291,96.344,96.240,96.980
goat,95.535,95.430,95.514,95.197,95.295,94.132
gold-fish,92.858,92.347,92.223,91.506,92.174,91.463
horsejump-high,93.158,92.968,93.115,92.607,92.364,90.350
india,86.386,86.177,86.323,86.002,86.415,85.526
judo,90.354,90.408,90.576,90.052,90.813,89.973
kite-surf,65.271,57.670,55.637,61.342,61.731,59.299
lab-coat,71.064,68.535,64.262,70.270,60.507,56.059
libby,95.084,94.962,95.060,94.874,94.830,94.107
loading,96.484,96.583,96.609,95.329,95.355,96.073
mbike-trick,90.471,89.071,89.142,85.509,86.769,83.165
motocross-jump,92.972,92.191,92.650,88.317,90.531,90.935
paragliding-launch,70.133,68.226,67.710,70.002,65.678,62.558
parkour,97.523,97.360,97.561,97.155,97.121,96.649
pigs,91.614,88.708,91.967,93.158,93.395,90.243
scooter-black,92.730,92.450,92.606,91.988,91.652,89.149
shooting,91.699,91.975,92.484,92.413,92.332,89.572
soapbox,92.897,93.198,93.196,92.417,92.187,89.356
