video,s_jf,s2_jf,drop,risk_score
kite-surf,0.6580612768928732,0.5892675127761817,0.06879376411669147,2.862388650000119
lab-coat,0.711658727214898,0.6766942254733663,0.03496450174153165,2.099522960217699
pigs,0.9082112884164322,0.885692163226719,0.02251912518971322,1.1101992111433192
paragliding-launch,0.6930811662735641,0.6757666102408755,0.01731455603268861,2.2173338484955205
mbike-trick,0.8906118875446873,0.8831604798581155,0.00745140768657182,0.02618182305771279
motocross-jump,0.9304355058857965,0.9238072294673187,0.006628276418477741,1.0079692947885397
bike-packing,0.9163768653100837,0.91248465630787,0.0038922090022136535,0.9178733975948998
scooter-black,0.920274942722139,0.91651815014795,0.0037567925741890384,0.22689411874172907
blackswan,0.9705916462984725,0.9675184767935486,0.003073169504923867,-0.8168281421074314
horsejump-high,0.9287641451565877,0.9260516977698952,0.002712447386692518,0.09978668977287432
dogs-jump,0.9663681196700047,0.9637087660448264,0.002659353625178329,0.6285741461640276
camel,0.9874297768221103,0.985374996306776,0.0020547805153342535,-0.8072693628468183
india,0.8593445855034328,0.8575840158187064,0.0017605696847264873,6.505858819703036
judo,0.9004743293865511,0.8987351409863091,0.0017391884002420088,-0.023846392927304883
goat,0.9491741841750984,0.9476655271895185,0.0015086569855798926,-0.49938301307349553
libby,0.9506968412822189,0.9492325604914476,0.0014642807907713218,0.2549659043284848
shooting,0.9253405948598383,0.9242138188959086,0.0011267759639297381,1.5355353164691827
parkour,0.9753548623327482,0.9742742738125391,0.0010805885202090915,-0.27020073608288014
car-shadow,0.9879400421834497,0.9873180385165199,0.0006220036669297713,-0.7186611556826176
drift-chicane,0.9556930991091324,0.9555210708605935,0.00017202824853890242,-0.257139972508053
cows,0.9840999158941373,0.9841013326557752,-1.4167616378957248e-06,-0.5514674658866435
bmx-trees,0.8163677230056159,0.8168721735361879,-0.0005044505305720204,1.327506191744834
car-roundabout,0.977409707430714,0.9779791127830443,-0.0005694053523302989,-0.8930974886189199
drift-straight,0.9707544362655101,0.9716835030571811,-0.0009290667916710404,-0.17209367564447664
gold-fish,0.9187366267102934,0.91972517432202,-0.000988547611726509,0.4144851131049451
dog,0.9749493283968856,0.9760673576079537,-0.0011180292110680723,-0.469272055788405
loading,0.9632874650618453,0.9647049818895286,-0.0014175168276833183,0.2276489743596064
breakdance,0.966241372320868,0.9677550265182513,-0.0015136541973832518,-0.08250431194294378
dance-twirl,0.9498745088916003,0.9516763252091154,-0.0018018163175150814,-0.21815190679246407
soapbox,0.9269241733884352,0.9299162072885458,-0.0029920339001106022,0.05487930885386003
