video,num_frames,num_objects,area_risk,iou_risk,frag_risk,risk_score
india,81,3,3.679650783350655,0.9039918516245885,3.625,6.505858819703036
kite-surf,50,3,0.9240691658237438,0.9591951701299617,13.7,2.862388650000119
paragliding-launch,80,3,0.7541031627209096,0.8868756632379721,10.625,2.2173338484955205
lab-coat,47,4,0.8343398467026809,1.0,6.1,2.099522960217699
shooting,40,3,0.2909839029690535,0.7008174522638031,14.375,1.5355353164691827
bmx-trees,80,2,0.5123605464600792,0.8400154325927178,5.75,1.327506191744834
pigs,79,3,0.3014597447075544,0.508356896193658,12.125,1.1101992111433192
motocross-jump,40,2,0.2933398114540927,0.6531007614573854,9.0,1.0079692947885397
bike-packing,69,2,0.17658895884568318,0.5685694589560162,11.428571428571429,0.9178733975948998
dogs-jump,66,3,0.44439890353297984,0.5753216847006299,2.923076923076923,0.6285741461640276
gold-fish,78,5,0.16447188761035186,0.305340602597054,9.75,0.4144851131049451
libby,49,1,0.11558837349308135,0.6041000199938441,4.5,0.2549659043284848
loading,50,3,0.23232581148997702,0.4851126469741528,3.7,0.2276489743596064
scooter-black,43,2,0.14569238767057785,0.5770827459077231,4.0,0.22689411874172907
horsejump-high,50,2,0.10769114997252476,0.5546073410375337,3.6,0.09978668977287432
soapbox,99,3,0.1116942594899604,0.3737242050082804,5.65,0.05487930885386003
mbike-trick,79,2,0.11295065367144921,0.39844886635484406,4.9375,0.02618182305771279
judo,34,2,0.12098321868972736,0.4032558316213675,4.142857142857143,-0.023846392927304883
breakdance,84,1,0.12053154256223983,0.46043951234903735,2.6470588235294117,-0.08250431194294378
drift-straight,50,1,0.2132068445400222,0.3547590563230105,1.4,-0.17209367564447664
dance-twirl,90,1,0.08949868126728938,0.35915290006113193,3.1666666666666665,-0.21815190679246407
drift-chicane,52,1,0.12624470707921054,0.41668229206465085,1.1818181818181819,-0.257139972508053
parkour,100,1,0.10308972102084517,0.4148850347394525,1.5,-0.27020073608288014
dog,60,1,0.06603874572296216,0.3302605471044039,1.1666666666666667,-0.469272055788405
goat,90,1,0.035149964955210625,0.2594465187776131,2.4444444444444446,-0.49938301307349553
cows,104,1,0.017330736694450018,0.10269022910758997,4.476190476190476,-0.5514674658866435
car-shadow,40,1,0.04673333155277134,0.09454614120711259,2.125,-0.7186611556826176
camel,90,1,0.025958905849401956,0.12179062113629463,1.1111111111111112,-0.8072693628468183
blackswan,50,1,0.007278578583130661,0.09833900930842693,1.7,-0.8168281421074314
car-roundabout,75,1,0.029190385402670313,0.04885482401183982,1.1333333333333333,-0.8930974886189199
